Pergunta,Opção 1,Opção 2,Opção 3,Opção 4,Resposta Correta
Qual é o maior oceano do mundo?,Atlântico,Índico,Pacífico,Ártico,3
"Quem pintou a ""Mona Lisa""?",Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Michelangelo,2
Qual é o maior planeta do nosso sistema solar?,Terra,Marte,Júpiter,Saturno,3
Qual é o metal mais abundante na crosta terrestre?,Ferro,Alumínio,Cobre,Ouro,2
Quantos continentes existem no mundo?,5,6,7,8,3
Qual é o animal terrestre mais rápido do mundo?,Leão,Guepardo,Cavalo,Urso,2
Qual é a capital do Japão?,Seul,Pequim,Tóquio,Bangkok,3
"Qual país é conhecido como a ""Terra do Sol Nascente""?",China,Tailândia,Japão,Coreia do Sul,3
"Quem escreveu ""Dom Quixote""?",William Shakespeare,Miguel de Cervantes,Gabriel García Márquez,Friedrich Nietzsche,2
Qual é a maior floresta tropical do mundo?,Floresta Amazônica,Floresta Congolesa,Floresta de Bornéu,Floresta Valdiviana,1
