Pergunta,Opção 1,Opção 2,Opção 3,Opção 4,Resposta Correta
Em que ano começou a Primeira Guerra Mundial?,1914,1918,1939,1945,1
Qual foi o último imperador do Brasil?,Pedro I,Pedro II,Getúlio Vargas,Tiradentes,2
Quem proclamou a independência do Brasil?,Tiradentes,Dom Pedro I,José Bonifácio,Princesa Isabel,2
Em que ano a República foi proclamada no Brasil?,1889,1822,1930,1964,1
Qual civilização antiga construiu as pirâmides de Gizé?,Romanos,Gregos,Egípcios,Maias,3
Quem foi o primeiro presidente do Brasil?,Deodoro da Fonseca,Getúlio Vargas,Juscelino Kubitschek,Tancredo Neves,1
Em que ano a Lei Áurea foi assinada?,1888,1850,1822,1934,1
Qual evento histórico é conhecido como a Queda do Muro de Berlim?,1989,1991,1945,1961,1
Quem foi o líder da Revolução Cubana em 1959?,Fidel Castro,Che Guevara,Raul Castro,Camilo Cienfuegos,1
A Batalha de Stalingrado foi um ponto crucial em qual guerra?,Primeira Guerra Mundial,Guerra do Vietnã,Guerra Fria,Segunda Guerra Mundial,4
