Pergunta,Opção 1,Opção 2,Opção 3,Opção 4,Resposta Correta
"Qual é o plural de ""mouse""?",mouse,mice,mouses,meese,2
Qual das seguintes palavras é um verbo?,beautiful,quickly,run,table,3
"Qual é o passado simples do verbo ""go""?",go,gone,went,going,3
"Qual é o significado de ""ubiquitous""?",comum,raro,antigo,desconhecido,1
"Complete a frase: ""He ____ to the store yesterday.""",goes,is going,went,will go,3
"Qual é a tradução de ""to stare""?",sentar,olhar fixamente,estudar,esquecer,2
Qual a palavra que não é um substantivo?,book,fast,car,house,2
"Qual é o adjetivo de ""happiness""?",happy,happily,happiest,unhappy,1
"Complete a frase: ""I have lived in this city ____ five years.""",since,for,at,in,2
"Qual é o plural de ""person""?",persons,person,people,peoples,3
